x,y
-3.459499818175340580e-01,-7.236669856622807151e-01
-3.475932194785769647e-01,-7.224997118333920110e-01
-3.492338464062971215e-01,-7.213287777561568914e-01
-3.508770782490515106e-01,-7.201614959480102662e-01
-3.525156856834991137e-01,-7.189877311171982699e-01
-3.541564472592260149e-01,-7.178169854140529216e-01
-3.557951492278287886e-01,-7.166433525667043059e-01
-3.574330619355771677e-01,-7.154686220189130363e-01
-3.590721217993585457e-01,-7.142954890489479070e-01
-3.607081153067293600e-01,-7.131180892257289461e-01
-3.623457862628424175e-01,-7.119430221102908130e-01
-3.639804439125814972e-01,-7.107637650460298939e-01
-3.656153498319337225e-01,-7.095848526599849437e-01
-3.672498584791480392e-01,-7.084053868128915576e-01
-3.688829714594867859e-01,-7.072239939831757027e-01
-3.705164979418804627e-01,-7.060431710200073541e-01
-3.721483366703243201e-01,-7.048600196965463249e-01
-3.737795682273743481e-01,-7.036760296427825301e-01
-3.754100147001301346e-01,-7.024909585523384514e-01
-3.770394927525831386e-01,-7.013045524334853287e-01
-3.786688845351603439e-01,-7.001180290496954450e-01
-3.802977669448257547e-01,-6.989308086104655260e-01
-3.819248301370556375e-01,-6.977410965069185123e-01
-3.835521452713664403e-01,-6.965517304068571391e-01
-3.851769912666179740e-01,-6.953589883214935652e-01
-3.868029259156454680e-01,-6.941677346470416232e-01
-3.884274247542990333e-01,-6.929745197772502197e-01
-3.900508797236837966e-01,-6.917798875509870715e-01
-3.916750286934199687e-01,-6.905861970297977326e-01
-3.932956705010760556e-01,-6.893877499813719778e-01
-3.949181231978825535e-01,-6.881917577240055373e-01
-3.965375347686735941e-01,-6.869916475762830599e-01
-3.981575698436905508e-01,-6.857923815868808282e-01
-3.997766321199299755e-01,-6.845918002493877053e-01
-4.013942605533536989e-01,-6.833892905548052399e-01
-4.030127330868460978e-01,-6.821879143187290495e-01
-4.046280087583201124e-01,-6.809822455623704140e-01
-4.062448717738096349e-01,-6.797787056097021052e-01
-4.078585107395893972e-01,-6.785708449015097621e-01
-4.094725847890581250e-01,-6.773635671412044923e-01
-4.110857756359010406e-01,-6.761551080008358916e-01
-4.126976096833762098e-01,-6.749448427793659500e-01
-4.143099718302450940e-01,-6.737352781843060079e-01
-4.159200897349320525e-01,-6.725227312790958978e-01
-4.175303261511040809e-01,-6.713103397732355093e-01
-4.191385648815302289e-01,-6.700953002711154127e-01
-4.207466433161468622e-01,-6.688800474403145957e-01
-4.223535494013217484e-01,-6.676632438260422520e-01
-4.239598736578766847e-01,-6.664456738714525930e-01
