PDF EXTRACTION RUN
UTC: 2026-09-10T16:03:31.825163+00:00
REQUEST_ID: 2026-09-10_root_pdf_extraction_pass_002
REQUESTED_BY: Ravel / ChatGPT
TARGET: directory=. recursive=False include_images=False
RECURSIVE: False
INCLUDE_IMAGES: False
FORCE_OCR: False
OCR_THRESHOLD: 200
OCR_LANGUAGE: eng
MAX_FILES: 200
FOUND: 153
SUCCEEDED: 152
FAILED: 1
MANIFEST: _AUTO_EXTRACTED_TEXT/_manifests/2026-09-10_root_pdf_extraction_pass_002.json

RESULTS:
OK | SAT_O2.pdf -> _AUTO_EXTRACTED_TEXT/SAT_O2.txt | pages=2 chars=1854 engine=PyMuPDF ocr=False
OK | SAT_O3.pdf -> _AUTO_EXTRACTED_TEXT/SAT_O3.txt | pages=2 chars=2038 engine=PyMuPDF ocr=False
OK | SAT_O4.pdf -> _AUTO_EXTRACTED_TEXT/SAT_O4.txt | pages=2 chars=2924 engine=PyMuPDF ocr=False
OK | SAT_O5.pdf -> _AUTO_EXTRACTED_TEXT/SAT_O5.txt | pages=2 chars=1512 engine=PyMuPDF ocr=False
OK | SAT_O6.pdf -> _AUTO_EXTRACTED_TEXT/SAT_O6.txt | pages=2 chars=1477 engine=PyMuPDF ocr=False
OK | SAT_O7_tentative.pdf -> _AUTO_EXTRACTED_TEXT/SAT_O7_tentative.txt | pages=3 chars=3134 engine=PyMuPDF ocr=False
OK | SAT_O_Glossary_1.pdf -> _AUTO_EXTRACTED_TEXT/SAT_O_Glossary_1.txt | pages=2 chars=2327 engine=PyMuPDF ocr=False
OK | SAT_ST_integration_test.pdf -> _AUTO_EXTRACTED_TEXT/SAT_ST_integration_test.txt | pages=64 chars=62482 engine=PyMuPDF ocr=False
OK | SATOBLOC 2.pdf -> _AUTO_EXTRACTED_TEXT/SATOBLOC 2.txt | pages=3 chars=4624 engine=PyMuPDF ocr=False
OK | SATOBLOC.pdf -> _AUTO_EXTRACTED_TEXT/SATOBLOC.txt | pages=3 chars=4624 engine=PyMuPDF ocr=False
OK | SATOBLOC_pre_lean.pdf -> _AUTO_EXTRACTED_TEXT/SATOBLOC_pre_lean.txt | pages=4 chars=3930 engine=PyMuPDF ocr=False
OK | Scalar-Angular-Twist.pdf -> _AUTO_EXTRACTED_TEXT/Scalar-Angular-Twist.txt | pages=26 chars=36454 engine=PyMuPDF ocr=False
OK | SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-10.pdf -> _AUTO_EXTRACTED_TEXT/SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-10.txt | pages=2 chars=5307 engine=PyMuPDF ocr=False
OK | SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-11.pdf -> _AUTO_EXTRACTED_TEXT/SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-11.txt | pages=2 chars=5060 engine=PyMuPDF ocr=False
OK | SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-12.pdf -> _AUTO_EXTRACTED_TEXT/SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-12.txt | pages=2 chars=5184 engine=PyMuPDF ocr=False
OK | SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-13.pdf -> _AUTO_EXTRACTED_TEXT/SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-13.txt | pages=2 chars=6439 engine=PyMuPDF ocr=False
OK | SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-14.pdf -> _AUTO_EXTRACTED_TEXT/SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-14.txt | pages=1 chars=244 engine=PyMuPDF ocr=False
OK | SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-2.pdf -> _AUTO_EXTRACTED_TEXT/SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-2.txt | pages=2 chars=5594 engine=PyMuPDF ocr=False
OK | SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-3.pdf -> _AUTO_EXTRACTED_TEXT/SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-3.txt | pages=2 chars=4917 engine=PyMuPDF ocr=False
OK | SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-4.pdf -> _AUTO_EXTRACTED_TEXT/SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-4.txt | pages=2 chars=5743 engine=PyMuPDF ocr=False
OK | SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-5.pdf -> _AUTO_EXTRACTED_TEXT/SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-5.txt | pages=2 chars=4668 engine=PyMuPDF ocr=False
OK | SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-6.pdf -> _AUTO_EXTRACTED_TEXT/SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-6.txt | pages=2 chars=5629 engine=PyMuPDF ocr=False
OK | SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-7.pdf -> _AUTO_EXTRACTED_TEXT/SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-7.txt | pages=2 chars=5497 engine=PyMuPDF ocr=False
OK | SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-8.pdf -> _AUTO_EXTRACTED_TEXT/SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-8.txt | pages=2 chars=5116 engine=PyMuPDF ocr=False
OK | SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-9.pdf -> _AUTO_EXTRACTED_TEXT/SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-9.txt | pages=2 chars=4524 engine=PyMuPDF ocr=False
